Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
723,7,n,n,,,,,9/3/2020,
724,7,n,n,,,,,9/3/2020,
725,7,n,y,y,40,24,0,9/3/2020,
726,7,n,y,y,26,27,2,9/3/2020,
734,7,n,y,y,2,3,0,9/3/2020,
727,7,n,n,,,,,9/3/2020,
728,7,n,n,,,,,9/3/2020,
729,7,n,n,,,,,9/3/2020,
730,7,n,n,,,,,9/3/2020,
731,7,n,n,,,,,9/3/2020,
732,7,n,n,,,,,9/3/2020,
733,7,n,n,,,,,9/3/2020,
735,7,n,x,,,,,9/3/2020,tube missing
736,7,n,x,,,,,9/3/2020,missing
323,3,n,y,y,20,19,0,9/9/2020,
324,3,n,y,y,32,25,0,9/9/2020,
325,3,n,n,,,,,9/9/2020,
326,3,n,n,,,,,9/9/2020,
327,3,n,y,y,5,5,0,9/9/2020,
328,3,n,y,y,44,29,0,9/9/2020,
329,3,n,n,,,,,9/9/2020,
330,3,n,n,,,,,9/9/2020,
331,3,n,y,y,2,2,0,9/9/2020,still a bit green
332,3,n,y,y,36,29,1,9/9/2020,slightly green
333,3,n,y,y,29,23,0,9/9/2020,
334,3,n,n,,,,,9/9/2020,
335,3,n,n,,,,,9/9/2020,
336,3,n,y,y,6,6,0,9/9/2020,
337,3,n,y,y,6,6,2,9/9/2020,
338,3,n,y,y,27,11,0,9/9/2020,
339,3,n,n,,,,,9/9/2020,
340,3,n,n,,,,,9/9/2020,
341,3,n,n,,,,,9/9/2020,
342,3,n,x,,,,,9/9/2020,tube missing
343,3,n,n,,,,,9/9/2020,
344,3,n,y,y,9,7,0,9/9/2020,
345,3,n,n,,,,,9/9/2020,
346,3,n,n,,,,,9/9/2020,
347,3,n,n,,,,,9/9/2020,
348,3,n,n,,,,,9/9/2020,
349,3,n,n,,,,,9/9/2020,
350,3,n,n,,,,,9/9/2020,
351,3,n,y,y,4,4,0,9/9/2020,
352,3,n,n,,,,,9/9/2020,
353,3,n,n,,,,,9/9/2020,
354,3,n,x,,,,,9/9/2020,tube missing
355,3,n,n,,,,,9/9/2020,
356,3,n,n,,,,,9/9/2020,
357,3,n,n,,,,,9/9/2020,
358,3,n,y,y,34,22,0,9/9/2020,
359,3,n,n,,,,,9/9/2020,
360,3,n,n,,,,,9/9/2020,
361,3,n,n,,,,,9/9/2020,
362,3,n,y,y,35,25,0,9/9/2020,
363,3,n,y,n,0,,,9/9/2020,"sad, small/partial plant"
364,3,n,n,,,,,9/9/2020,
365,3,n,y,y,18,17,0,9/9/2020,
366,3,n,n,,,,,9/9/2020,
367,3,n,y,y,10,4,0,9/9/2020,
368,3,n,n,,,,,9/9/2020,
645,7,y,n,,,,,9/9/2020,
646,7,y,n,,,,,9/9/2020,
647,7,y,n,,,,,9/9/2020,
648,7,y,n,,,,,9/9/2020,
650,7,y,n,,,,,9/9/2020,
651,7,y,y,y,7,10,2,9/9/2020,
652,7,y,n,,,,,9/9/2020,
653,7,y,n,,,,,9/9/2020,
654,7,y,n,,,,,9/9/2020,
655,7,y,n,,,,,9/9/2020,
656,7,y,y,y,7,5,0,9/9/2020,
657,7,y,n,,,,,9/9/2020,
658,7,y,n,,,,,9/9/2020,
659,7,y,y,n,0,,,9/9/2020,"tiny, immature plant, still a bit green"
660,7,y,n,,,,,9/9/2020,
661,7,y,n,,,,,9/9/2020,
662,7,y,n,,,,,9/9/2020,
663,7,y,n,,,,,9/9/2020,
664,7,y,n,,,,,9/9/2020,
665,7,y,n,,,,,9/9/2020,
666,7,y,n,,,,,9/9/2020,
667,7,y,n,,,,,9/9/2020,
